date,value
"['2017-02-06T00:00:00', 133]"
"['2017-02-07T00:00:00', 159]"
"['2017-02-08T00:00:00', 167]"
"['2017-02-09T00:00:00', 163]"
"['2017-02-10T00:00:00', 154]"
"['2017-02-11T00:00:00', 155]"
"['2017-02-12T00:00:00', 141]"
"['2017-02-13T00:00:00', 161]"
"['2017-02-14T00:00:00', 148]"
"['2017-02-15T00:00:00', 156]"
"['2017-02-16T00:00:00', 147]"
"['2017-02-17T00:00:00', 152]"
"['2017-02-18T00:00:00', 126]"
"['2017-02-19T00:00:00', 131]"
"['2017-02-20T00:00:00', 136]"
"['2017-02-21T00:00:00', 168]"
"['2017-02-22T00:00:00', 152]"
"['2017-02-23T00:00:00', 128]"
"['2017-02-24T00:00:00', 109]"
"['2017-02-25T00:00:00', 109]"
"['2017-02-26T00:00:00', 117]"
"['2017-02-27T00:00:00', 119]"
"['2017-02-28T00:00:00', 125]"
"['2017-03-01T00:00:00', 139]"
"['2017-03-02T00:00:00', 168]"
"['2017-03-03T00:00:00', 181]"
"['2017-03-04T00:00:00', 158]"
"['2017-03-05T00:00:00', 143]"
"['2017-03-06T00:00:00', 119]"
"['2017-03-07T00:00:00', 139]"
"['2017-03-08T00:00:00', 177]"
"['2017-03-09T00:00:00', 192]"
"['2017-03-10T00:00:00', 194]"
"['2017-03-11T00:00:00', 185]"
"['2017-03-12T00:00:00', 164]"
"['2017-03-13T00:00:00', 168]"
"['2017-03-14T00:00:00', 169]"
"['2017-03-15T00:00:00', 186]"
"['2017-03-16T00:00:00', 173]"
"['2017-03-17T00:00:00', 166]"
"['2017-03-18T00:00:00', 165]"
"['2017-03-19T00:00:00', 166]"
"['2017-03-20T00:00:00', 163]"
"['2017-03-21T00:00:00', 159]"
"['2017-03-22T00:00:00', 162]"
"['2017-03-23T00:00:00', 160]"
"['2017-03-24T00:00:00', 154]"
"['2017-03-25T00:00:00', 159]"
"['2017-03-26T00:00:00', 155]"
"['2017-03-27T00:00:00', 164]"
"['2017-03-28T00:00:00', 183]"
"['2017-03-29T00:00:00', 192]"
"['2017-03-30T00:00:00', 184]"
"['2017-03-31T00:00:00', 177]"
"['2017-04-01T00:00:00', 164]"
"['2017-04-02T00:00:00', 175]"
"['2017-04-03T00:00:00', 154]"
"['2017-04-04T00:00:00', 167]"
"['2017-04-05T00:00:00', 183]"
"['2017-04-06T00:00:00', 177]"
"['2017-04-07T00:00:00', 168]"
"['2017-04-08T00:00:00', 166]"
"['2017-04-09T00:00:00', 151]"
"['2017-04-10T00:00:00', 166]"
"['2017-04-11T00:00:00', 169]"
"['2017-04-12T00:00:00', 171]"
"['2017-04-13T00:00:00', 173]"
"['2017-04-14T00:00:00', 155]"
"['2017-04-15T00:00:00', 165]"
"['2017-04-16T00:00:00', 181]"
"['2017-04-17T00:00:00', 175]"
"['2017-04-18T00:00:00', 189]"
"['2017-04-19T00:00:00', 189]"
"['2017-04-20T00:00:00', 183]"
"['2017-04-21T00:00:00', 201]"
"['2017-04-22T00:00:00', 222]"
"['2017-04-23T00:00:00', 201]"
"['2017-04-24T00:00:00', 182]"
"['2017-04-25T00:00:00', 184]"
"['2017-04-26T00:00:00', 187]"
"['2017-04-27T00:00:00', 179]"
"['2017-04-28T00:00:00', 216]"
"['2017-04-29T00:00:00', 238]"
"['2017-04-30T00:00:00', 212]"
"['2017-05-01T00:00:00', 203]"
"['2017-05-02T00:00:00', 201]"
"['2017-05-03T00:00:00', 198]"
"['2017-05-04T00:00:00', 206]"
"['2017-05-05T00:00:00', 173]"
"['2017-05-06T00:00:00', 166]"
"['2017-05-07T00:00:00', 136]"
"['2017-05-08T00:00:00', 142]"
"['2017-05-09T00:00:00', 168]"
"['2017-05-10T00:00:00', 171]"
"['2017-05-11T00:00:00', 182]"
"['2017-05-12T00:00:00', 169]"
"['2017-05-13T00:00:00', 180]"
"['2017-05-14T00:00:00', 170]"
"['2017-05-15T00:00:00', 161]"
"['2017-05-16T00:00:00', 157]"
"['2017-05-17T00:00:00', 163]"
"['2017-05-18T00:00:00', 179]"
"['2017-05-19T00:00:00', 211]"
"['2017-05-20T00:00:00', 234]"
"['2017-05-21T00:00:00', 223]"
"['2017-05-22T00:00:00', 197]"
"['2017-05-23T00:00:00', 193]"
"['2017-05-24T00:00:00', 175]"
"['2017-05-25T00:00:00', 170]"
"['2017-05-26T00:00:00', 182]"
"['2017-05-27T00:00:00', 180]"
"['2017-05-28T00:00:00', 185]"
"['2017-05-29T00:00:00', 181]"
"['2017-05-30T00:00:00', 171]"
"['2017-05-31T00:00:00', 170]"
"['2017-06-01T00:00:00', 184]"
"['2017-06-02T00:00:00', 192]"
"['2017-06-03T00:00:00', 182]"
"['2017-06-04T00:00:00', 178]"
"['2017-06-05T00:00:00', 168]"
"['2017-06-06T00:00:00', 174]"
"['2017-06-07T00:00:00', 175]"
"['2017-06-08T00:00:00', 179]"
"['2017-06-09T00:00:00', 180]"
"['2017-06-10T00:00:00', 185]"
"['2017-06-11T00:00:00', 177]"
"['2017-06-12T00:00:00', 179]"
"['2017-06-13T00:00:00', 190]"
"['2017-06-14T00:00:00', 211]"
"['2017-06-15T00:00:00', 218]"
"['2017-06-16T00:00:00', 226]"
"['2017-06-17T00:00:00', 226]"
"['2017-06-18T00:00:00', 214]"
"['2017-06-19T00:00:00', 217]"
"['2017-06-20T00:00:00', 216]"
"['2017-06-21T00:00:00', 213]"
"['2017-06-22T00:00:00', 196]"
"['2017-06-23T00:00:00', 197]"
"['2017-06-24T00:00:00', 200]"
"['2017-06-25T00:00:00', 227]"
"['2017-06-26T00:00:00', 232]"
"['2017-06-27T00:00:00', 234]"
"['2017-06-28T00:00:00', 205]"
"['2017-06-29T00:00:00', 192]"
"['2017-06-30T00:00:00', 192]"
"['2017-07-01T00:00:00', 195]"
"['2017-07-02T00:00:00', 194]"
"['2017-07-03T00:00:00', 207]"
"['2017-07-04T00:00:00', 223]"
"['2017-07-05T00:00:00', 219]"
"['2017-07-06T00:00:00', 228]"
"['2017-07-07T00:00:00', 244]"
"['2017-07-08T00:00:00', 247]"
"['2017-07-09T00:00:00', 249]"
"['2017-07-10T00:00:00', 241]"
"['2017-07-11T00:00:00', 241]"
"['2017-07-12T00:00:00', 231]"
"['2017-07-13T00:00:00', 226]"
"['2017-07-14T00:00:00', 219]"
"['2017-07-15T00:00:00', 223]"
"['2017-07-16T00:00:00', 221]"
"['2017-07-17T00:00:00', 222]"
"['2017-07-18T00:00:00', 229]"
"['2017-07-19T00:00:00', 235]"
"['2017-07-20T00:00:00', 238]"
"['2017-07-21T00:00:00', 231]"
"['2017-07-22T00:00:00', 230]"
"['2017-07-23T00:00:00', 234]"
"['2017-07-24T00:00:00', 227]"
"['2017-07-25T00:00:00', 231]"
"['2017-07-26T00:00:00', 232]"
"['2017-07-27T00:00:00', 234]"
"['2017-07-28T00:00:00', 219]"
"['2017-07-29T00:00:00', 221]"
"['2017-07-30T00:00:00', 229]"
"['2017-07-31T00:00:00', 221]"
"['2017-08-01T00:00:00', 233]"
"['2017-08-02T00:00:00', 254]"
"['2017-08-03T00:00:00', 267]"
"['2017-08-04T00:00:00', 259]"
"['2017-08-05T00:00:00', 233]"
"['2017-08-06T00:00:00', 234]"
"['2017-08-07T00:00:00', 226]"
"['2017-08-08T00:00:00', 231]"
"['2017-08-09T00:00:00', 227]"
"['2017-08-10T00:00:00', 229]"
"['2017-08-11T00:00:00', 232]"
"['2017-08-12T00:00:00', 218]"
"['2017-08-13T00:00:00', 219]"
"['2017-08-14T00:00:00', 216]"
"['2017-08-15T00:00:00', 208]"
"['2017-08-16T00:00:00', 208]"
"['2017-08-17T00:00:00', 214]"
"['2017-08-18T00:00:00', 217]"
"['2017-08-19T00:00:00', 215]"
"['2017-08-20T00:00:00', 216]"
"['2017-08-21T00:00:00', 221]"
"['2017-08-22T00:00:00', 222]"
"['2017-08-23T00:00:00', 215]"
"['2017-08-24T00:00:00', 207]"
"['2017-08-25T00:00:00', 206]"
"['2017-08-26T00:00:00', 222]"
"['2017-08-27T00:00:00', 226]"
"['2017-08-28T00:00:00', 232]"
"['2017-08-29T00:00:00', 241]"
"['2017-08-30T00:00:00', 253]"
