Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2020-11-07 00:00:01;2020-11-08 00:00:00;2020-11-07;11.0;Y
2020-11-08 00:00:01;2020-11-09 00:00:00;2020-11-08;8.7;Y
2020-11-09 00:00:01;2020-11-10 00:00:00;2020-11-09;8.2;Y
2020-11-10 00:00:01;2020-11-11 00:00:00;2020-11-10;8.3;Y
2020-11-11 00:00:01;2020-11-12 00:00:00;2020-11-11;7.3;Y
2020-11-12 00:00:01;2020-11-13 00:00:00;2020-11-12;6.5;Y
2020-11-13 00:00:01;2020-11-14 00:00:00;2020-11-13;7.6;Y
2020-11-14 00:00:01;2020-11-15 00:00:00;2020-11-14;8.7;Y
2020-11-15 00:00:01;2020-11-16 00:00:00;2020-11-15;11.2;Y
2020-12-03 00:00:01;2020-12-04 00:00:00;2020-12-03;3.0;Y
2020-12-04 00:00:01;2020-12-05 00:00:00;2020-12-04;2.8;Y
2020-12-05 00:00:01;2020-12-06 00:00:00;2020-12-05;5.2;Y
2020-12-06 00:00:01;2020-12-07 00:00:00;2020-12-06;5.9;Y
2020-12-07 00:00:01;2020-12-08 00:00:00;2020-12-07;7.1;Y
2020-12-08 00:00:01;2020-12-09 00:00:00;2020-12-08;4.4;Y
2020-12-09 00:00:01;2020-12-10 00:00:00;2020-12-09;4.5;Y
2020-12-10 00:00:01;2020-12-11 00:00:00;2020-12-10;4.1;Y
2020-12-11 00:00:01;2020-12-12 00:00:00;2020-12-11;2.9;Y
2020-12-12 00:00:01;2020-12-13 00:00:00;2020-12-12;3.9;Y
2020-12-13 00:00:01;2020-12-14 00:00:00;2020-12-13;4.9;Y
2020-12-14 00:00:01;2020-12-15 00:00:00;2020-12-14;4.5;Y
2020-12-15 00:00:01;2020-12-16 00:00:00;2020-12-15;7.4;Y
2020-12-16 00:00:01;2020-12-17 00:00:00;2020-12-16;7.2;Y
2020-12-17 00:00:01;2020-12-18 00:00:00;2020-12-17;6.9;Y
